gene_id,Cont_JSY,Cont_LCM,Cont_LMH,Cont_LSA,Cont_T13008,IJHC1203,IJHC1215,IJHC1219,IJHC1231,T17012,T17013,T17015,T17019
5988,0,0,0,0,0,0,0,6,0,0,0,0,0
5989,1545,879,1435,1031,1070,1453,1305,1008,1471,1330,1276,1225,1132
83892,19301,12087,18258,16374,15314,14346,14993,11557,18792,11085,15748,11912,13114
5982,710,524,593,690,909,792,708,562,1700,616,599,502,576
5983,335,238,184,409,492,252,348,179,1037,233,217,223,205
5980,4187,2556,2314,2133,2049,2924,3157,2377,2915,2680,4025,3619,2967
5981,3537,3030,3180,3673,3259,3440,3527,2808,4246,3433,3729,3656,3838
5986,5447,3352,5002,4078,3474,2987,4045,3280,3741,3144,3114,3631,3779
5987,3790,2199,3085,3063,3153,3084,3439,2826,4833,3216,3041,2990,2870
5984,779,447,510,665,515,383,496,431,998,260,342,373,408
5985,581,514,396,505,546,476,509,306,940,398,418,386,456
83897,0,0,0,0,0,0,0,0,0,0,0,0,0
57481,0,0,0,0,0,0,0,0,0,0,0,0,0
83895,1401,2901,2370,5266,1566,1699,4364,2348,3303,831,682,1005,1270
100132677,0,0,3,0,0,0,3,0,0,0,0,0,3
101929152,25,3,0,0,4,0,0,0,0,4,7,3,0
53905,27,7,0,24,6,3,3,17,9,15,30,5,23
401247,0,15,0,0,3,12,12,8,5,6,0,0,3
401242,0,0,0,0,0,0,0,0,0,0,0,0,0
57489,2257,1969,1637,1449,1917,980,1979,1189,2121,1245,917,1338,1139
260293,60,3,0,0,0,0,6,0,7,0,0,3,0
260294,1093,474,899,576,498,192,757,444,491,394,339,481,719
270,0,0,0,0,0,0,0,0,0,0,0,0,0
271,7586,5422,7632,6178,8206,6235,7170,5064,10206,6000,5625,4836,5863
272,556,360,190,400,245,253,368,196,347,240,162,146,304
273,143,114,191,428,246,501,286,228,816,216,373,352,334
274,3330,2765,3234,2758,3052,3670,3381,2811,3774,3434,4093,3763,3185
275,989,738,652,349,223,89,415,313,235,262,391,363,490
276,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,4,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0
279,19,0,0,0,0,0,0,0,0,0,0,0,0
286238,0,0,0,0,0,0,0,0,0,0,0,0,0
153770,36,20,24,28,28,0,27,21,9,10,40,27,20
63027,2035,2075,2334,2609,1513,2562,2825,1935,1719,1500,1990,2610,1818
9258,805,613,819,792,742,804,757,671,1139,837,945,849,795
9256,2865,1096,1876,1107,1092,353,606,517,507,564,782,988,1538
9254,10,9,9,14,9,5,9,3,0,6,6,11,14
9255,3013,2617,2486,3261,2793,2459,2983,2354,4102,2237,2197,2720,2527
9252,141,87,52,42,74,23,90,39,49,37,58,109,46
9253,5995,3588,2574,4297,4124,4636,4268,3204,5236,3691,4096,4184,3746
55297,1133,951,853,1326,1024,1022,1302,1104,1390,911,1115,1399,1009
105379194,41,0,0,0,0,14,0,0,9,0,0,0,0
105379192,0,0,0,0,0,0,0,0,0,0,0,0,0
100507091,0,0,0,0,0,0,0,0,0,0,0,0,0
